Arrival_Date,log_ret,log_return_lag1,vol_7,vol_7_lag1,vol_30,vol_30_lag1,rainfall_7d,rainfall_7d_lag1,festival_window,days_since_last_arrival,is_price_jump,price_momentum_7,price_momentum_3,month_sin,month_cos,dow_sin,dow_cos,govt_window,govt_none,govt_buffer_operations,govt_export_restriction,govt_farmer_actions,govt_import_support,govt_market_intervention,govt_procurement_support,govt_stock_limit_actions
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0,0,0,0
2025-01-02,-0.020610787306859404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.020610787306859404,-0.020610787306859404,0.0,1.0,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0,0,0,0
2025-01-03,-0.0004165798852162468,-0.020610787306859404,0.011781228753103466,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.021027367192075652,-0.021027367192075652,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
2025-01-04,0.0408219945202552,-0.0004165798852162468,0.025777616330553987,0.011781228753103466,0.0,0.0,0.0,0.0,0,0,1,0.019794627328179548,0.019794627328179548,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,0,0
2025-01-05,0.0,0.0408219945202552,0.022433501034216697,0.025777616330553987,0.0,0.0,0.0,0.0,0,0,0,0.019794627328179548,0.04040541463503895,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,0,0
2025-01-06,0.0,0.0,0.02013012063373784,0.022433501034216697,0.0,0.0,0.0,0.0,0,0,0,0.019794627328179548,0.0408219945202552,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-01-07,-0.040821994520255166,0.0,0.02481492915996892,0.02013012063373784,0.02481492915996892,0.0,0.0,0.0,0,0,0,-0.021027367192075617,-0.040821994520255166,0.0,1.0,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0,0,0,0
2025-01-08,-0.02062796779596745,-0.040821994520255166,0.02561080706264641,0.02481492915996892,0.023804158562869285,0.02481492915996892,0.0,0.0,0,0,0,-0.041655334988043066,-0.061449962316222614,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,0
2025-01-09,-0.06638340919366227,-0.02062796779596745,0.03433502686824574,0.02561080706264641,0.0301935187785525,0.023804158562869285,0.0,0.0,0,0,1,-0.08742795687484593,-0.12783337150988489,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,0
2025-01-10,-0.1466034741918754,-0.06638340919366227,0.06036163548954543,0.03433502686824574,0.05120593644436981,0.0301935187785525,0.0,0.0,0,0,1,-0.23361485118150507,-0.2336148511815051,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,0
