Arrival_Date,festival_window,Modal_Price,log_ret,vol_7,vol_30,month,week,day_of_week,precip_mm,rainfall_7d,days_since_last_arrival,is_price_jump
2019-10-04,0,2801.0,0.05503956897108308,0.12530070464134296,0.08356071310209508,10,40,4,2.7,56.199999999999974,1.0,0
2019-10-07,1,3752.5,0.2924457882475085,0.18132880871860044,0.09739526085458794,10,41,0,11.1,51.89999999999997,3.0,1
2019-10-09,1,3551.0,-0.05519303056452908,0.16787308166465742,0.09577185585003424,10,41,2,5.1,28.39999999999997,2.0,0
2019-10-10,1,3401.0,-0.04315974793589249,0.16624872323900466,0.09612774735676034,10,41,3,0.1,21.89999999999997,1.0,0
2019-10-11,0,3100.0,-0.0926673945339578,0.15356120598312056,0.09786608253084568,10,41,4,0.3,20.39999999999997,1.0,0
2019-10-14,0,2851.0,-0.08373230156056562,0.15415393525800522,0.09895073434609022,10,42,0,0.0,19.999999999999968,3.0,0
2019-10-15,0,2801.0,-0.017693313652563446,0.13474764097157974,0.0971634423521616,10,42,1,0.0,19.29999999999997,1.0,0
2019-10-16,0,2700.0,-0.03672472326768808,0.1338537786319758,0.09714463365688313,10,42,2,0.0,16.59999999999997,1.0,0
2019-10-17,0,2501.0,-0.0765611211148014,0.027428279320135116,0.09699821702662877,10,42,3,0.0,5.499999999999972,1.0,0
2019-10-18,0,2400.0,-0.0412219145415821,0.028161830773176855,0.0972953367381511,10,42,4,4.6,4.999999999999972,1.0,0
2019-10-19,0,2580.0,0.07232066157962608,0.05649018677285932,0.09805493322430349,10,42,5,17.0,21.89999999999997,1.0,0
2019-10-22,0,3560.0,0.32197114593041304,0.14282546638100002,0.11401806299130303,10,43,1,17.8,39.39999999999997,3.0,1
2019-10-23,0,3501.0,-0.01671190289141041,0.13685260568023339,0.11392044692362857,10,43,2,32.2,71.59999999999997,1.0,0
2019-10-24,0,3350.0,-0.04408829613555359,0.13871545184868714,0.1143621536095464,10,43,3,5.4,76.99999999999997,1.0,0
2019-10-30,0,3900.0,0.1520162072986257,0.14287009374052667,0.11730412521121066,10,44,2,2.9,79.89999999999998,6.0,0
2019-10-31,0,4100.0,0.050010420574661416,0.1313543909796279,0.11746954105694303,10,44,3,0.8,80.69999999999997,1.0,0
2019-11-01,0,4551.0,0.10436001532424286,0.12187953028944956,0.11814337347475701,11,44,4,3.2,79.29999999999998,1.0,0
2019-11-02,0,4901.0,0.07409227689290547,0.12183511231889317,0.1171650176215764,11,44,5,0.8,63.09999999999997,1.0,0
2019-11-04,0,5501.0,0.11549062796591053,0.07129586690250367,0.11859056236736694,11,45,0,0.6,45.89999999999997,2.0,0
2019-11-05,0,3800.5,-0.369797256869363,0.1793785483332444,0.13766615558364398,11,45,1,0.0,13.699999999999966,1.0,1
2019-11-06,0,3725.5,-0.019931566012312916,0.1783552493067124,0.1354734024995427,11,45,2,0.4,8.699999999999966,1.0,0
